Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;Distance;Distance Unit;Seconds;Notes;Workout Notes
2018-11-02 16:53:36;"A";"Bent Over Row (Dumbbell)";1;27.5;lbs;5;;;0;"";
2018-11-02 16:53:36;"A";"Bent Over Row (Dumbbell)";2;30;lbs;5;;;0;;
2018-11-02 16:53:36;"A";"Bent Over Row (Dumbbell)";3;35;lbs;5;;;0;;
2018-11-02 16:53:36;"A";"Bent Over Row (Dumbbell)";4;40;lbs;5;;;0;;
2018-11-02 16:53:36;"A";"Bent Over Row (Dumbbell)";5;45;lbs;10;;;0;;
2018-11-02 16:53:36;"A";"Overhead Press (Dumbbell)";1;22.5;lbs;5;;;0;"";
2018-11-02 16:53:36;"A";"Overhead Press (Dumbbell)";2;25;lbs;5;;;0;;
2018-11-02 16:53:36;"A";"Overhead Press (Dumbbell)";3;27.5;lbs;5;;;0;;
2018-11-02 16:53:36;"A";"Overhead Press (Dumbbell)";4;30;lbs;5;;;0;;
2018-11-02 16:53:36;"A";"Overhead Press (Dumbbell)";5;35;lbs;6;;;0;;
2018-11-01 17:25:57;"Indoor Bike";"Cycling (Indoor)";1;;;;10.5;mi.;35;"";""
2018-10-31 17:10:12;"B";"Squat (Barbell)";1;22.5;lbs;5;;;0;"";""
2018-10-31 17:10:12;"B";"Squat (Barbell)";2;25;lbs;5;;;0;;
2018-10-31 17:10:12;"B";"Squat (Barbell)";3;27.5;lbs;5;;;0;;
2018-10-31 17:10:12;"B";"Squat (Barbell)";4;30;lbs;5;;;0;;
2018-10-31 17:10:12;"B";"Squat (Barbell)";5;32.5;lbs;10;;;0;;
2018-10-31 17:10:12;"B";"Bench Press (Dumbbell)";1;27.5;lbs;5;;;0;"";
2018-10-31 17:10:12;"B";"Bench Press (Dumbbell)";2;30;lbs;5;;;0;;
2018-10-31 17:10:12;"B";"Bench Press (Dumbbell)";3;35;lbs;5;;;0;;
2018-10-31 17:10:12;"B";"Bench Press (Dumbbell)";4;40;lbs;5;;;0;;
2018-10-31 17:10:12;"B";"Bench Press (Dumbbell)";5;45;lbs;5;;;0;;
2018-10-31 17:10:12;"B";"Pull Up";1;0;lbs;14;;;0;"";
2018-10-31 17:10:12;"B";"Pull Up";2;0;lbs;7;;;0;;
2018-10-29 16:00:57;"A";"Deadlift (Barbell)";1;85;lbs;5;;;0;"";""
2018-10-29 16:00:57;"A";"Deadlift (Barbell)";2;95;lbs;5;;;0;;
2018-10-29 16:00:57;"A";"Deadlift (Barbell)";3;105;lbs;5;;;0;;
2018-10-29 16:00:57;"A";"Deadlift (Barbell)";4;115;lbs;5;;;0;;
2018-10-29 16:00:57;"A";"Deadlift (Barbell)";5;125;lbs;8;;;0;;
2018-10-29 16:00:57;"A";"Bent Over Row (Dumbbell)";1;27.5;lbs;5;;;0;"";
2018-10-29 16:00:57;"A";"Bent Over Row (Dumbbell)";2;30;lbs;5;;;0;;
2018-10-29 16:00:57;"A";"Bent Over Row (Dumbbell)";3;35;lbs;5;;;0;;
2018-10-29 16:00:57;"A";"Bent Over Row (Dumbbell)";4;40;lbs;5;;;0;;
2018-10-29 16:00:57;"A";"Bent Over Row (Dumbbell)";5;45;lbs;9;;;0;;
2018-10-29 16:00:57;"A";"Overhead Press (Dumbbell)";1;20;lbs;5;;;0;"";
2018-10-29 16:00:57;"A";"Overhead Press (Dumbbell)";2;22.5;lbs;5;;;0;;
2018-10-29 16:00:57;"A";"Overhead Press (Dumbbell)";3;25;lbs;5;;;0;;
2018-10-29 16:00:57;"A";"Overhead Press (Dumbbell)";4;27.5;lbs;5;;;0;;
2018-10-29 16:00:57;"A";"Overhead Press (Dumbbell)";5;30;lbs;10;;;0;;
2018-10-27 15:14:48;"B";"Squat (Barbell)";1;22.5;lbs;5;;;0;"";""
2018-10-27 15:14:48;"B";"Squat (Barbell)";2;25;lbs;5;;;0;;
2018-10-27 15:14:48;"B";"Squat (Barbell)";3;27.5;lbs;5;;;0;;
2018-10-27 15:14:48;"B";"Squat (Barbell)";4;30;lbs;5;;;0;;
2018-10-27 15:14:48;"B";"Squat (Barbell)";5;32.5;lbs;7;;;0;;
2018-10-27 15:14:48;"B";"Bench Press (Dumbbell)";1;27.5;lbs;5;;;0;"";
2018-10-27 15:14:48;"B";"Bench Press (Dumbbell)";2;30;lbs;5;;;0;;
2018-10-27 15:14:48;"B";"Bench Press (Dumbbell)";3;35;lbs;5;;;0;;
2018-10-27 15:14:48;"B";"Bench Press (Dumbbell)";4;40;lbs;5;;;0;;
2018-10-27 15:14:48;"B";"Bench Press (Dumbbell)";5;45;lbs;4;;;0;;
2018-10-27 15:14:48;"B";"Pull Up";1;0;lbs;11;;;0;"";
2018-10-27 15:14:48;"B";"Pull Up";2;0;lbs;5;;;0;;
2018-10-20 15:05:17;"A";"Deadlift (Barbell)";1;85;lbs;5;;;0;"";""
2018-10-20 15:05:17;"A";"Deadlift (Barbell)";2;95;lbs;5;;;0;;
2018-10-20 15:05:17;"A";"Deadlift (Barbell)";3;105;lbs;5;;;0;;
2018-10-20 15:05:17;"A";"Deadlift (Barbell)";4;115;lbs;5;;;0;;
2018-10-20 15:05:17;"A";"Deadlift (Barbell)";5;125;lbs;5;;;0;;
2018-10-20 15:05:17;"A";"Bent Over Row (Dumbbell)";1;27.5;lbs;5;;;0;"";
2018-10-20 15:05:17;"A";"Bent Over Row (Dumbbell)";2;30;lbs;5;;;0;;
2018-10-20 15:05:17;"A";"Bent Over Row (Dumbbell)";3;35;lbs;5;;;0;;
2018-10-20 15:05:17;"A";"Bent Over Row (Dumbbell)";4;40;lbs;5;;;0;;
2018-10-20 15:05:17;"A";"Bent Over Row (Dumbbell)";5;45;lbs;8;;;0;;
2018-10-20 15:05:17;"A";"Overhead Press (Dumbbell)";1;20;lbs;5;;;0;"";
2018-10-20 15:05:17;"A";"Overhead Press (Dumbbell)";2;22.5;lbs;5;;;0;;
2018-10-20 15:05:17;"A";"Overhead Press (Dumbbell)";3;25;lbs;5;;;0;;
2018-10-20 15:05:17;"A";"Overhead Press (Dumbbell)";4;27.5;lbs;5;;;0;;
2018-10-20 15:05:17;"A";"Overhead Press (Dumbbell)";5;30;lbs;9;;;0;;
2018-10-17 04:37:32;"B";"Squat (Barbell)";1;22.5;lbs;5;;;0;"";""
2018-10-17 04:37:32;"B";"Squat (Barbell)";2;25;lbs;5;;;0;;
2018-10-17 04:37:32;"B";"Squat (Barbell)";3;27.5;lbs;5;;;0;;
2018-10-17 04:37:32;"B";"Squat (Barbell)";4;30;lbs;5;;;0;;
2018-10-17 04:37:32;"B";"Squat (Barbell)";5;32.5;lbs;7;;;0;;
2018-10-17 04:37:32;"B";"Bench Press (Dumbbell)";1;27.5;lbs;5;;;0;"";
2018-10-17 04:37:32;"B";"Bench Press (Dumbbell)";2;30;lbs;5;;;0;;
2018-10-17 04:37:32;"B";"Bench Press (Dumbbell)";3;35;lbs;5;;;0;;
2018-10-17 04:37:32;"B";"Bench Press (Dumbbell)";4;40;lbs;5;;;0;;
2018-10-17 04:37:32;"B";"Bench Press (Dumbbell)";5;45;lbs;5;;;0;;
2018-10-17 04:37:32;"B";"Pull Up";1;0;lbs;11;;;0;"";
2018-10-17 04:37:32;"B";"Pull Up";2;0;lbs;6;;;0;;
2018-10-12 16:12:31;"A";"Deadlift (Barbell)";1;75;lbs;5;;;0;"";""
2018-10-12 16:12:31;"A";"Deadlift (Barbell)";2;85;lbs;5;;;0;;
2018-10-12 16:12:31;"A";"Deadlift (Barbell)";3;95;lbs;5;;;0;;
2018-10-12 16:12:31;"A";"Deadlift (Barbell)";4;105;lbs;5;;;0;;
2018-10-12 16:12:31;"A";"Deadlift (Barbell)";5;115;lbs;10;;;0;;
2018-10-12 16:12:31;"A";"Bent Over Row (Dumbbell)";1;27.5;lbs;5;;;0;"";
2018-10-12 16:12:31;"A";"Bent Over Row (Dumbbell)";2;30;lbs;5;;;0;;
